speaker_end_role,Accusation,Call for Action,Defense,Evidence,Identity Declaration,Interrogation,No Strategy / Empty
Doppelganger,9.803921568627452,5.88235294117647,15.686274509803921,8.823529411764707,10.784313725490197,3.9215686274509802,55.88235294117647
Mason,11.377245508982035,5.089820359281437,6.58682634730539,8.682634730538922,7.18562874251497,17.964071856287426,48.50299401197605
Drunk,14.084507042253522,1.6901408450704223,5.070422535211268,8.450704225352112,6.478873239436619,16.056338028169016,51.267605633802816
Hunter,18.838028169014084,7.922535211267606,11.971830985915492,7.042253521126761,7.21830985915493,14.612676056338028,42.6056338028169
Minion,14.821124361158432,5.281090289608177,16.35434412265758,10.90289608177172,5.281090289608177,17.206132879045995,43.61158432708688
Insomniac,15.2,6.4799999999999995,11.68,7.5200000000000005,6.88,17.119999999999997,46.56
Villager,14.06663141195135,4.283447911158118,11.105235325224749,7.2977260708619776,8.514013749338973,14.383923849814915,49.762030671602325
Tanner,14.642857142857144,5.758928571428571,18.080357142857142,8.482142857142858,5.0,18.660714285714285,41.11607142857142
Seer,15.519125683060109,6.33879781420765,15.591985428051004,9.836065573770492,5.573770491803279,16.029143897996356,43.169398907103826
Robber,14.426992437463642,5.264688772542176,13.816172193135545,10.09307737056428,5.2356020942408374,16.288539848749274,45.84060500290867
Troublemaker,13.327837317944491,6.100577081615829,12.420994778785381,11.81643308601264,3.8746908491343777,18.604012091233855,44.43528441879637
Werewolf,14.586939417781275,6.152635719905586,13.579858379228954,8.623131392604249,5.633359559402046,17.65538945712038,44.7993705743509
